TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SOND3;38,66;22,14;2,81;1,33;0,73;35,67;19,63;14,61;2,09;2,44;-0,97;-0,61;0,41;2,61;-2,06;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;3.866,00;29,12;13,78;0,07;154.837.360,00
SOND5;76,00;12,39;5,52;2,61;1,43;35,67;19,63;14,61;4,10;2,44;-0,97;-0,61;0,81;5,12;-4,06;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;4.069,22;29,12;13,78;0,13;154.837.360,00
SOND6;70,21;13,41;5,10;2,41;1,32;35,67;19,63;14,61;3,79;2,44;-0,97;-0,61;0,74;4,73;-3,75;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;3.288,44;29,12;13,78;0,12;154.837.360,00
SPRT3B;76,40;;-1.991,34;1.709,07;1.584,90;;;;-1.950,74;-1.949,51;1,23;-1,08;;1.709,07;;13,76;-85,83;-79,59;-87,61;0,93;0,07;0,00;;;;0,04;-0,04;308,13;370.531.748,80
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;2,68;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64
SRNA3;1,03;;-12,79;0,12;0,03;14,10;16,22;-0,73;0,57;9,98;9,40;1,95;0,09;0,46;-0,04;1,49;-0,93;-0,23;5,57;0,25;0,75;0,32;;;6.388,00;8,68;-0,08;0,01;641.412.472,68
STBP3;14,42;;13,44;13,60;2,24;59,07;46,45;25,05;7,25;8,53;1,29;2,41;3,37;228,55;-2,66;1,07;101,21;16,65;25,49;0,16;0,84;0,66;31,30;;3.082.209,00;1,06;1,07;0,79;12.461.336.720,98
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;4,97;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;21,15;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;20,76;;48,73;1,06;0,29;4,25;-3,34;0,83;-12,06;7,41;19,47;-1,71;0,40;0,79;-0,85;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;313.020.093,00;19,64;0,43;-0,88;8.840.533.965,20
